id,title,tagline,overview,homepage,release_date,budget,revenue,popularity,runtime,poster_path
315162,Puss in Boots: The Last Wish,Say hola to his little friends.,"Puss in Boots discovers that his passion for adventure has taken its toll: He has burned through eight of his nine lives, leaving him with only one life left. Puss sets out on an epic journey to find the mythical Last Wish and restore his nine lives.",https://www.dreamworks.com/movies/puss-in-boots-the-last-wish,12/21/2022,90000000,208171553,10610.921,103,/1NqwE6LP9IEdOZ57NCT51ftHtWT.jpg
76600,Avatar: The Way of Water,Return to Pandora.,"Set more than a decade after the events of the first film, learn the story of the Sully family (Jake, Neytiri, and their kids), the trouble that follows them, the lengths they go to keep each other safe, the battles they fight to stay alive, and the tragedies they endure.",https://www.avatar.com/movies/avatar-the-way-of-water,12/16/2022,460000000,1752000000,3427.076,192,/t6HIqrRAclMCA60NsSmeqe9RmNV.jpg
899112,Violent Night,You better watch out.,"When a team of mercenaries breaks into a wealthy family compound on Christmas Eve, taking everyone inside hostage, the team isn’t prepared for a surprise combatant: Santa Claus is on the grounds, and he’s about to show why this Nick is no saint.",https://www.violentnightmovie.com,11/30/2022,20000000,73000000,2342.145,112,/1XSYOP0JjjyMz1irihvWywro82r.jpg
536554,M3GAN,Friendship has evolved.,"A brilliant toy company roboticist uses artificial intelligence to develop M3GAN, a life-like doll programmed to emotionally bond with her newly orphaned niece. But when the doll's programming works too well, she becomes overprotective of her new friend with terrifying results.",https://www.m3ganmovie.com,1/6/2023,12000000,52580135,2199.89,102,/7CNCv9uhqdwK7Fv4bR4nmDysnd9.jpg
436270,Black Adam,The world needed a hero. It got Black Adam.,"Nearly 5,000 years after he was bestowed with the almighty powers of the Egyptian gods—and imprisoned just as quickly—Black Adam is freed from his earthly tomb, ready to unleash his unique form of justice on the modern world.",https://www.dc.com/BlackAdam,10/21/2022,200000000,389000000,1922.13,125,/pFlaoHTZeyNkG83vxsAJiGzfSsa.jpg
661374,Glass Onion: A Knives Out Mystery,,World-famous detective Benoit Blanc heads to Greece to peel back the layers of a mystery surrounding a tech billionaire and his eclectic crew of friends.,https://glassonionmovie.com,11/23/2022,40000000,13280000,1719.724,140,/vDGr1YdrlfbU9wxTOdpf3zChmv9.jpg
724495,The Woman King,Her reign begins.,"The story of the Agojie, the all-female unit of warriors who protected the African Kingdom of Dahomey in the 1800s with skills and a fierceness unlike anything the world has ever seen, and General Nanisca as she trains the next generation of recruits and readies them for battle against an enemy determined to destroy their way of life.",https://www.thewomanking.movie/,9/16/2022,50000000,91000000,1537.732,135,/438QXt1E3WJWb3PqNniK0tAE5c1.jpg
668482,Roald Dahl's Matilda the Musical,Meet the exception to the rules.,"An extraordinary young girl discovers her superpower and summons the remarkable courage, against all odds, to help others change their stories, whilst also taking charge of her own destiny. Standing up for what's right, she's met with miraculous results.",https://www.sonypictures.co.uk/movies/roald-dahls-matilda-musical,11/25/2022,25000000,13276499,1405.411,117,/ga8R3OiOMMgSvZ4cOj8x7prUNYZ.jpg
676547,Prey for the Devil,It wants in.,"In response to a global rise in demonic possessions, the Catholic Church reopens exorcism schools to train priests in the Rite of Exorcism. On this spiritual battlefield, an unlikely warrior rises: a young nun, Sister Ann. Thrust onto the spiritual frontline with fellow student Father Dante, Sister Ann finds herself in a battle for the soul of a young girl and soon realizes the Devil has her right where he wants her.",https://www.preyforthedevil.movie/,10/23/2022,0,37655699,1325.172,93,/w3s6XEDNVGq5LUlghqs6VlvsvL6.jpg
505642,Black Panther: Wakanda Forever,Forever.,"Queen Ramonda, Shuri, M’Baku, Okoye and the Dora Milaje fight to protect their nation from intervening world powers in the wake of King T’Challa’s death. As the Wakandans strive to embrace their next chapter, the heroes must band together with the help of War Dog Nakia and Everett Ross and forge a new path for the kingdom of Wakanda.",https://wakandaforevertickets.com,11/11/2022,250000000,820000000,1291.184,162,/sv1xJUazXeYqALzczSZ3O6nkH75.jpg
